listing_id,published_time,updated_time,listing_status,property_type,num_bed_room,sale_price,area_using,city,district,ward,project_name,owner_id
1480951154776_8083,1470200025514,1616751514074,200,1,2,0,0,Hồ Chí Minh,Bình Thạnh,Phường 22,Topaz 2,1616749112933000
1480951161132_9762,1469853542719,1610972781986,200,1,3,0,0,Hồ Chí Minh,Bình Thạnh,Phường 22,Sài Gòn Pearl,1569151655195000
1480951161202_1644,1467970172491,1610972771536,200,1,2,950000000,0,Hồ Chí Minh,Quận 9,Phước Long B,Chung cư Phố Đông,1578590029969000
1480951162025_3443,1470454300321,1616751637470,200,1,2,0,0,Hồ Chí Minh,Bình Thạnh,Phường 21,City Garden,1616749112933000
1480951160069_3802,1470901334508,1610972799161,200,1,2,129600,0,Hồ Chí Minh,Bình Thạnh,Phường 22,The Manor,1569151655195000
1480951160543_4427,0,1626014005706,200,1,2,0,0,Hồ Chí Minh,Quận 2,An Phú,Imperia An Phú,1577028809099000
1480951160552_8839,0,1626014005706,200,1,2,0,0,Hồ Chí Minh,Quận 2,An Phú,Imperia An Phú,1577028809099000
1480951154988_9091,1474693119349,1642511685193,200,1,2,1600000000,0,Hồ Chí Minh,Quận 7,Phú Mỹ,Era Town,1616749112933000
1480951156726_2911,1473848080253,1610972747198,200,1,2,0,0,Hồ Chí Minh,Gò Vấp,Phường 3,Sunny Plaza,1601085607573000
1480951161191_3562,1473928254243,1616122270861,200,1,3,0,0,Hồ Chí Minh,Quận 2,Thảo Điền,Tropic Garden,1561349698367000
1480951161195_8368,1473675693989,1610972747198,200,1,3,0,0,Hồ Chí Minh,Quận 11,Phường 15,Flemington,1601085607573000
1480951161336_9932,1474275099908,1616122312237,200,1,2,0,0,Hồ Chí Minh,Quận 2,Thảo Điền,Tropic Garden,1561349698367000
1480951157980_8061,1476088784111,1656648461287,200,1,3,0,0,Hồ Chí Minh,Bình Thạnh,Phường 22,The Manor,gg-108522902074042578006
1660636243711_6108,0,1660636273689,405,1,0,3800000000,0,Hồ Chí Minh,Quận 2,Thảo Điền,,1621912427978000
1660636243736_7573,0,1660636269220,405,1,3,4000000000,0,Hồ Chí Minh,Quận 2,Thảo Điền,,1621912427978000
1660636244056_7832,0,1660636264121,405,1,0,0,0,Hồ Chí Minh,Quận 2,Thảo Điền,,1621912427978000
1660636521878_733,0,1660637047284,405,1,0,3800000000,0,Hồ Chí Minh,Quận 2,Thảo Điền,,1621912427978000
1660636521900_1423,0,1660637036687,405,1,3,4000000000,0,Hồ Chí Minh,Quận 2,Thảo Điền,,1621912427978000
1660636521923_5667,0,1660637032240,405,1,0,0,0,Hồ Chí Minh,Quận 2,Thảo Điền,,1621912427978000
1660637072863_3637,0,1660637072863,200,1,0,3800000000,0,Hồ Chí Minh,Quận 2,Thảo Điền,,1621912427978000
1660637072885_9291,0,1660637072885,200,1,3,4000000000,0,Hồ Chí Minh,Quận 2,Thảo Điền,,1621912427978000
1660637072908_8687,0,1660637072908,200,1,0,0,0,Hồ Chí Minh,Quận 2,Thảo Điền,,1621912427978000
1660642475420_2846,0,1660643779378,200,1,3,2900000000,0,Hồ Chí Minh,Quận 1,Bến Nghé,,1621912427978000
1660644067119_9739,0,1660644119657,200,1,0,6500000000,0,Bình Dương,Tân Uyên,Vĩnh Tân,,1621912427978000
1660644283902_5248,0,1660644283902,200,1,3,2900000000,0,Hồ Chí Minh,Quận 9,Phước Long B,,1621912427978000
1660644436886_1856,0,1660644464632,405,1,3,2900000000,0,Hồ Chí Minh,Thủ Đức,Hiệp Bình Phước,,1621912427978000
1660644565566_393,0,1660649505900,200,1,3,2900000000,0,Hồ Chí Minh,Quận 2,An Phú,,1621912427978000
1660644663541_5093,0,1660649506353,200,1,3,2900000000,0,Hồ Chí Minh,Nhà Bè,Nhơn Đức,,1621912427978000
1660644833878_9340,0,1660644833878,200,1,3,2900000000,0,Hồ Chí Minh,Quận 7,Tân Phong,,1621912427978000
1660644898888_6198,0,1660649473969,200,1,3,2900000000,0,Hồ Chí Minh,Quận 7,Tân Phong,,1621912427978000
1660645059468_9316,0,1660645307314,405,1,3,6500000000,0,Hồ Chí Minh,Quận 2,An Phú,,1621912427978000
1660645322460_6742,0,1660655012508,405,1,3,6500000000,0,Hồ Chí Minh,Quận 2,Thảo Điền,,1621912427978000
1660645383212_4190,0,1660649474451,200,1,3,6500000000,0,Hồ Chí Minh,Quận 3,Phường 6,,1621912427978000
1660645808459_3512,0,1660656298727,200,1,3,6500000000,0,Hồ Chí Minh,Quận 2,Thảo Điền,,1621912427978000
1660645808493_7248,0,1660656475148,200,1,3,6500000000,0,Hồ Chí Minh,Quận 2,Thảo Điền,,1621912427978000
1660645808555_2782,0,1660647233790,200,1,4,7000000000,0,Hồ Chí Minh,Quận 2,Thảo Điền,,1621912427978000
1660649998412_7424,0,1660649998412,200,1,3,6500000000,0,Hồ Chí Minh,Quận 7,Phú Thuận,,1621912427978000
1660649998439_6294,0,1660649998439,200,1,3,6500000000,0,Hồ Chí Minh,Quận 7,Phú Thuận,,1621912427978000
1660649998466_3001,0,1660649998466,200,1,4,7000000000,0,Hồ Chí Minh,Quận 7,Phú Thuận,,1621912427978000
1660649998488_9072,0,1660656298727,200,1,2,4700000000,0,Hồ Chí Minh,Quận 7,Phú Thuận,,1621912427978000
1660655412929_3531,0,1660660828373,200,1,3,6500000000,0,Hồ Chí Minh,Quận 6,Phường 11,,sale_manager
1660655412949_2722,0,1660660828373,200,1,3,6500000000,0,Hồ Chí Minh,Quận 6,Phường 11,,sale_manager
1660655413005_1801,0,1660660828373,200,1,4,7000000000,0,Hồ Chí Minh,Quận 6,Phường 11,,sale_manager
1660655413028_453,0,1660660828373,200,1,2,4700000000,0,Hồ Chí Minh,Quận 6,Phường 11,,sale_manager
1660656518641_569,0,1660656614842,200,1,3,2900000000,0,Bình Định,Quy Nhơn,Ghềnh Ráng,,1621912427978000
1660656541189_6852,0,1660656587210,200,1,3,2900000000,0,Hồ Chí Minh,Quận 7,Tân Thuận Đông,,1621912427978000
1660660137849_3789,0,1660660137849,200,1,3,6500000000,0,Hồ Chí Minh,Quận 3,Phường 9,,1621912427978000
1660660137868_5581,0,1660660137868,200,1,3,6500000000,0,Hồ Chí Minh,Quận 3,Phường 9,,1621912427978000
1660660137889_9995,0,1660660137889,200,1,4,7000000000,0,Hồ Chí Minh,Quận 3,Phường 9,,1621912427978000
1660660137910_2559,0,1660660137910,200,1,2,4700000000,0,Hồ Chí Minh,Quận 3,Phường 9,,1621912427978000
1660660216414_640,0,1662388121534,300,1,3,6500000000,0,Hồ Chí Minh,Quận 3,Phường 9,,1621912427978000
1660660216435_7376,0,1660660216435,200,1,3,6500000000,0,Hồ Chí Minh,Quận 3,Phường 9,,1621912427978000
1660660216455_4057,0,1662388122584,300,1,4,7000000000,0,Hồ Chí Minh,Quận 3,Phường 9,,1621912427978000
1660660216473_3577,0,1662388647574,405,1,2,4700000000,0,Hồ Chí Minh,Quận 3,Phường 9,,1621912427978000
1661158498870_3082,0,1661234656065,200,1,2,3500000000,0,Hồ Chí Minh,Quận 2,An Phú,,1633957421750000
1661183998715_2088,0,1662387904966,300,1,2,3500000000,0,Hồ Chí Minh,Bình Thạnh,Phường 2,,1621912427978000
1661230724996_4165,0,1661230724996,200,1,2,3500000000,0,Hồ Chí Minh,Quận 2,Thảo Điền,,1633957421750000
1661230725296_4804,0,1661230725296,200,1,3,4000000000,0,Hồ Chí Minh,Quận 2,Thảo Điền,,1633957421750000
1661235671104_7297,0,1661235671104,200,1,2,3500000000,0,Hồ Chí Minh,Bình Chánh,Phong Phú,,1633957421750000
1660645808493_7248,0,1662391646299,200,1,3,6500000000,0,Hồ Chí Minh,Quận 2,Thảo Điền,,1621912427978000
1660645808493_7248,0,1662391646299,200,1,3,6500000000,0,Hồ Chí Minh,Quận 2,Thảo Điền,,1621912427978000
1660645808493_7248,0,1662391646299,200,1,3,6500000000,0,Hồ Chí Minh,Quận 2,Thảo Điền,,1621912427978000
1660656541189_6852,0,1662391671961,200,1,3,2900000000,0,Hồ Chí Minh,Quận 7,Tân Thuận Đông,,1621912427978000
1660656541189_6852,0,1662391671961,200,1,3,2900000000,0,Hồ Chí Minh,Quận 7,Tân Thuận Đông,,1621912427978000
1660656541189_6852,0,1662391671961,200,1,3,2900000000,0,Hồ Chí Minh,Quận 7,Tân Thuận Đông,,1621912427978000
1660660137889_9995,0,1662391401493,200,1,4,7000000000,0,Hồ Chí Minh,Quận 3,Phường 9,,1621912427978000
1660660137889_9995,0,1662391401493,200,1,4,7000000000,0,Hồ Chí Minh,Quận 3,Phường 9,,1621912427978000
1660660137889_9995,0,1662391401493,200,1,4,7000000000,0,Hồ Chí Minh,Quận 3,Phường 9,,1621912427978000
1660660216414_640,0,1662390627027,200,1,3,6500000000,0,Hồ Chí Minh,Quận 3,Phường 9,,1621912427978000
1660660216414_640,0,1662390627027,200,1,3,6500000000,0,Hồ Chí Minh,Quận 3,Phường 9,,1621912427978000
